#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


1	-2.975	6.6	0.4	0	0
2	-2.225	6.6	0.4	0	0
3	-1.475	6.6	0.4	0	0
4	-0.7250000000000001	6.6	0.4	0	0
5	0.02499999999999991	6.6	0.4	0	0
6	0.7750000000000004	6.6	0.4	0	0
7	1.5250000000000004	6.6	0.4	0	0
8	2.2750000000000004	6.6	0.4	0	0
9	3.0250000000000004	6.6	0.4	0	0
10	-3.35	5.824999999999999	0.4	0	0
11	-2.6	5.824999999999999	0.4	0	0
12	-1.85	5.824999999999999	0.4	0	0
13	-1.1	5.824999999999999	0.4	0	0
14	-0.3500000000000001	5.824999999999999	0.4	0	0
15	0.40000000000000036	5.824999999999999	0.4	0	0
16	1.1500000000000004	5.824999999999999	0.4	0	0
17	1.9000000000000004	5.824999999999999	0.4	0	0
18	2.6500000000000004	5.824999999999999	0.4	0	0
19	3.4000000000000004	5.824999999999999	0.4	0	0
20	-3.725	5.049999999999999	0.4	0	0
21	-2.975	5.049999999999999	0.4	0	0
22	-2.225	5.049999999999999	0.4	0	0
23	-1.475	5.049999999999999	0.4	0	0
24	-0.7250000000000001	5.049999999999999	0.4	0	0
25	0.025000000000000355	5.049999999999999	0.4	0	0
26	0.7750000000000004	5.049999999999999	0.4	0	0
27	1.5250000000000004	5.049999999999999	0.4	0	0
28	2.2750000000000004	5.049999999999999	0.4	0	0
29	3.0250000000000004	5.049999999999999	0.4	0	0
30	3.7750000000000004	5.049999999999999	0.4	0	0
31	-4.1	4.274999999999999	0.4	0	0
32	-3.35	4.274999999999999	0.4	0	0
33	-2.6	4.274999999999999	0.4	0	0
34	-1.85	4.274999999999999	0.4	0	0
35	-1.1	4.274999999999999	0.4	0	0
36	-0.34999999999999964	4.274999999999999	0.4	0	0
37	0.40000000000000036	4.274999999999999	0.4	0	0
38	1.1500000000000004	4.274999999999999	0.4	0	0
39	1.9000000000000004	4.274999999999999	0.4	0	0
40	2.6500000000000004	4.274999999999999	0.4	0	0
41	3.4000000000000004	4.274999999999999	0.4	0	0
42	4.15	4.274999999999999	0.4	0	0
43	-4.475	3.4999999999999987	0.4	0	0
44	-3.725	3.4999999999999987	0.4	0	0
45	-2.975	3.4999999999999987	0.4	0	0
46	-2.225	3.4999999999999987	0.4	0	0
47	-1.475	3.4999999999999987	0.4	0	0
48	-0.7249999999999996	3.4999999999999987	0.4	0	0
49	0.025000000000000355	3.4999999999999987	0.4	0	0
50	0.7750000000000004	3.4999999999999987	0.4	0	0
51	1.5250000000000004	3.4999999999999987	0.4	0	0
52	2.2750000000000004	3.4999999999999987	0.4	0	0
53	3.0250000000000004	3.4999999999999987	0.4	0	0
54	3.7750000000000004	3.4999999999999987	0.4	0	0
55	4.525	3.4999999999999987	0.4	0	0
56	-4.85	2.7249999999999988	0.4	0	0
57	-4.1	2.7249999999999988	0.4	0	0
58	-3.35	2.7249999999999988	0.4	0	0
59	-2.6	2.7249999999999988	0.4	0	0
60	-1.85	2.7249999999999988	0.4	0	0
61	-1.0999999999999996	2.7249999999999988	0.4	0	0
62	-0.34999999999999964	2.7249999999999988	0.4	0	0
63	0.40000000000000036	2.7249999999999988	0.4	0	0
64	1.1500000000000004	2.7249999999999988	0.4	0	0
