#
#THIS IS THE GROMETRY FILE FOR THE HEXAGONAL HGCAL WAFER
#
# 6 inch 136 pads
#
#DO NOT MODIFY UNLESS YOU KNOW WHAT YOU ARE DOING
#
#padnumber	xposition	yposition	size	type

#1. row
1	-0.5	7	0.54	3
2	+0.5	7	0.54	3

#2. row
3	-2	6	0.54	2
4	-1	6	0.54	0
5	+0	6	0.54	0
6	+1	6	0.54	0
7	+2	6	0.54	2

#3. row
8	-3.5	5	0.54	2
9	-2.5	5	0.54	0
10	-1.5	5	0.54	0
11	-0.5	5	0.54	0
12	+0.5	5	0.54	0
13	+1.5	5	0.54	0
14	+2.5	5	0.54	0
15	+3.5	5	0.54	2

#4. row
16	-5	4	0.54	3
17	-4	4	0.54	0
18	-3	4	0.54	0
19	-2	4	0.54	0
20	-1	4	0.54	0
21	+0	4	0.54	0
22	+1	4	0.54	0
23	+2	4	0.54	0
24	+3	4	0.54	0
25	+4	4	0.54	0
26	+5	4	0.54	3

#5. row
27	-5.5	3	0.54	3
28	-4.5	3	0.54	0
29	-3.5	3	0.54	0
30	-2.5	3	0.54	0
31	-1.5	3	0.54	0
32	-0.5	3	0.54	0
33	+0.5	3	0.54	0
34	+1.5	3	0.54	0
35	+2.5	3	0.54	0
36	+3.5	3	0.54	0
37	+4.5	3	0.54	0
38	+5.5	3	0.54	3

#Calibration cell
#39	-5.5	7	0.54	5
39	+0	2	0.25	5

#6. row
40	-5	2	0.54	0
41	-4	2	0.54	0
42	-3	2	0.54	0
43	-2	2	0.54	0
44	-1	2	0.54	0
45	+0	2	0.54	4
46	+1	2	0.54	0
47	+2	2	0.54	0
48	+3	2	0.54	0
49	+4	2	0.54	0
50	+5	2	0.54	0

#7. row
51	-5.5	1	0.54	2
52	-4.5	1	0.54	0
53	-3.5	1	0.54	0
54	-2.5	1	0.54	0
55	-1.5	1	0.54	0
56	-0.5	1	0.54	0
57	+0.5	1	0.54	0
58	+1.5	1	0.54	0
59	+2.5	1	0.54	0
60	+3.5	1	0.54	0
61	+4.5	1	0.54	0
62	+5.5	1	0.54	2

#8. row
63	-5	0	0.54	0
64	-4	0	0.54	0
65	-3	0	0.54	0
66	-2	0	0.54	0
67	-1	0	0.54	0
68	+0	0	0.54	0
69	+1	0	0.54	0
70	+2	0	0.54	0
71	+3	0	0.54	0
72	+4	0	0.54	0
73	+5	0	0.54	0

#9. row
74	-5.5	-1	0.54	2
75	-4.5	-1	0.54	0
76	-3.5	-1	0.54	0
77	-2.5	-1	0.54	0
78	-1.5	-1	0.54	0
79	-0.5	-1	0.54	0
80	+0.5	-1	0.54	0
81	+1.5	-1	0.54	0
82	+2.5	-1	0.54	0
83	+3.5	-1	0.54	0
84	+4.5	-1	0.54	0
85	+5.5	-1	0.54	2

#10. row
86	-5	-2	0.54	0
87	-4	-2	0.54	0
88	-3	-2	0.54	0
89	-2	-2	0.54	0
90	-1	-2	0.54	0
91	+0	-2	0.54	0
92	+1	-2	0.54	0
93	+2	-2	0.54	0
94	+3	-2	0.54	0
95	+4	-2	0.54	0
96	+5	-2	0.54	0

#11. row
97	-5.5	-3	0.54	3
98	-4.5	-3	0.54	0
99	-3.5	-3	0.54	0
100	-2.5	-3	0.54	0
101	-1.5	-3	0.54	0
102	-0.5	-3	0.54	0
103	+0.5	-3	0.54	0
104	+1.5	-3	0.54	0
105	+2.5	-3	0.54	0
106	+3.5	-3	0.54	0
107	+4.5	-3	0.54	0
108	+5.5	-3	0.54	3

#12. row
109	-5	-4	0.54	3
110	-4	-4	0.54	0
111	-3	-4	0.54	0
112	-2	-4	0.54	0
113	-1	-4	0.54	0
114	+0	-4	0.54	4
115	+1	-4	0.54	0
116	+2	-4	0.54	0
117	+3	-4	0.54	0
118	+4	-4	0.54	0
119	+5	-4	0.54	3

#Calibration cell
#120	-4.5	7	0.54	5
120	+0	-4	0.25	5

#13. row
121	-3.5	-5	0.54	2
122	-2.5	-5	0.54	0
123	-1.5	-5	0.54	0
124	-0.5	-5	0.54	0
125	+0.5	-5	0.54	0
126	+1.5	-5	0.54	0
127	+2.5	-5	0.54	0
128	+3.5	-5	0.54	2

#14. row
129	-2	-6	0.54	2
130	-1	-6	0.54	0
131	+0	-6	0.54	0
132	+1	-6	0.54	0
133	+2	-6	0.54	2

#15. row
134	-0.5	-7	0.54	3
135	+0.5	-7	0.54	3

#Guard ring
136	0	0	6.6 	1

#test capacitances
137	+6	-5	0.2 	6
138	+6	-5.5	0.2 	7
139	+6	-6	0.2 	8
140	+6	-6.5	0.2 	9
