#
#THIS IS THE GROMETRY FILE FOR THE HEAGONAL HGCAL WAFER
#
# HPK 6 inch 136 pads
#
#padnumber	position	yposition	size	type	rotation

1	-0.5	7	0.54	3	-0.00001
2	+0.5	7	0.54	3	0
3	-2	6	0.54	2	120
4	-1	6	0.54	0	0
5	+0	6	0.54	0	0
6	+1	6	0.54	0	0
7	+2	6	0.54	2	60
8	-3.5	5	0.54	2	120
9	-2.5	5	0.54	0	0
10	-1.5	5	0.54	0	0
11	-0.5	5	0.54	0	0
12	+0.5	5	0.54	0	0
13	+1.5	5	0.54	0	0
14	+2.5	5	0.54	0	0
15	+3.5	5	0.54	2	60
16	-5	4	0.54	3	60
17	-4	4	0.54	0	0
18	-3	4	0.54	0	0
19	-2	4	0.54	0	0
20	-1	4	0.54	0	0
21	+0	4	0.54	0	0
22	+1	4	0.54	0	0
23	+2	4	0.54	0	0
24	+3	4	0.54	0	0
25	+4	4	0.54	0	0
26	+5	4	0.54	3	-300
27	-5.5	3	0.54	3	-60
28	-4.5	3	0.54	0	0
29	-3.5	3	0.54	0	0
30	-2.5	3	0.54	0	0
31	-1.5	3	0.54	0	0
32	-0.5	3	0.54	0	0
33	+0.5	3	0.54	0	0
34	+1.5	3	0.54	0	0
35	+2.5	3	0.54	0	0
36	+3.5	3	0.54	0	0
37	+4.5	3	0.54	0	0
38	+5.5	3	0.54	3	300
39	-5	2	0.54	0	0
40	-4	2	0.54	0	0
41	-3	2	0.54	0	0
42	-2	2	0.54	0	0
43	-1	2	0.54	0	0
44	+0	2	0.54	4	0
45	+1	2	0.54	0	0
46	+2	2	0.54	0	0
47	+3	2	0.54	0	0
48	+4	2	0.54	0	0
49	+5	2	0.54	0	0
50	-5.5	1	0.54	2	180
51	-4.5	1	0.54	0	0
52	-3.5	1	0.54	0	0
53	-2.5	1	0.54	0	0
54	-1.5	1	0.54	0	0
55	-0.5	1	0.54	0	0
56	+0.5	1	0.54	0	0
57	+1.5	1	0.54	0	0
58	+2.5	1	0.54	0	0
59	+3.5	1	0.54	0	0
60	+4.5	1	0.54	0	0
61	+5.5	1	0.54	2	0
62	-5	0	0.54	0	0
63	-4	0	0.54	0	0
64	-3	0	0.54	0	0
65	-2	0	0.54	0	0
66	-1	0	0.54	0	0
67	+0	0	0.54	0	0
68	+1	0	0.54	0	0
69	+2	0	0.54	0	0
70	+3	0	0.54	0	0
71	+4	0	0.54	0	0
72	+5	0	0.54	0	0
73	-5.5	-1	0.54	2	180
74	-4.5	-1	0.54	0	0
75	-3.5	-1	0.54	0	0
76	-2.5	-1	0.54	0	0
77	-1.5	-1	0.54	0	0
78	-0.5	-1	0.54	0	0
79	+0.5	-1	0.54	0	0
80	+1.5	-1	0.54	0	0
81	+2.5	-1	0.54	0	0
82	+3.5	-1	0.54	0	0
83	+4.5	-1	0.54	0	0
84	+5.5	-1	0.54	2	0
85	-5	-2	0.54	0	0
86	-4	-2	0.54	0	0
87	-3	-2	0.54	0	0
88	-2	-2	0.54	0	0
89	-1	-2	0.54	0	0
90	+0	-2	0.54	0	0
91	+1	-2	0.54	0	0
92	+2	-2	0.54	0	0
93	+3	-2	0.54	0	0
94	+4	-2	0.54	0	0
95	+5	-2	0.54	0	0
96	-5.5	-3	0.54	3	120
97	-4.5	-3	0.54	0	0
98	-3.5	-3	0.54	0	0
99	-2.5	-3	0.54	0	0
100	-1.5	-3	0.54	0	0
101	-0.5	-3	0.54	0	0
102	+0.5	-3	0.54	0	0
103	+1.5	-3	0.54	0	0
104	+2.5	-3	0.54	0	0
105	+3.5	-3	0.54	0	0
106	+4.5	-3	0.54	0	0
107	+5.5	-3	0.54	3	-240
108	-5	-4	0.54	3	-120
109	-4	-4	0.54	0	0
110	-3	-4	0.54	0	0
111	-2	-4	0.54	0	0
112	-1	-4	0.54	0	0
113	+0	-4	0.54	4	0
114	+1	-4	0.54	0	0
115	+2	-4	0.54	0	0
116	+3	-4	0.54	0	0
117	+4	-4	0.54	0	0
118	+5	-4	0.54	3	240
119	-3.5	-5	0.54	2	240
120	-2.5	-5	0.54	0	0
121	-1.5	-5	0.54	0	0
122	-0.5	-5	0.54	0	0
123	+0.5	-5	0.54	0	0
124	+1.5	-5	0.54	0	0
125	+2.5	-5	0.54	0	0
126	+3.5	-5	0.54	2	300
127	-2	-6	0.54	2	240
128	-1	-6	0.54	0	0
129	+0	-6	0.54	0	0
130	+1	-6	0.54	0	0
131	+2	-6	0.54	2	300
132	-0.5	-7	0.54	3	180
133	+0.5	-7	0.54	3	-180
134	+0	2	0.25	5	0
135	+0	-4	0.25	5	0
136	0	0	13 	1	0
